[2023-11-19 08:34:48] Action: UPDATE qtybank SET brand='5',qty='100', seller = '102',anbarenter='1',invoice='1',invoice_date='1402/08/28',pos1='F',pos2='5',des='',deliverer='9',invoice_number='101',stock_id='9' WHERE id = '14585', User:5
[2023-11-19 08:40:52] Action: UPDATE qtybank SET brand='60',qty='1', seller = '2',anbarenter='1',invoice='1',invoice_date='1402/08/20',pos1='',pos2='',des='',deliverer='17',invoice_number='12401',stock_id='1' WHERE id = '14554', User:5
[2023-11-19 13:57:34] Action: UPDATE qtybank SET brand='4',qty='2', seller = '161',anbarenter='1',invoice='0',invoice_date='1402/07/18',pos1='',pos2='',des='',deliverer='9',invoice_number='',stock_id='1' WHERE id = '13182', User:5
[2023-11-19 13:57:48] Action: UPDATE qtybank SET brand='5',qty='2', seller = '161',anbarenter='1',invoice='0',invoice_date='1402/07/18',pos1='',pos2='',des='',deliverer='9',invoice_number='',stock_id='1' WHERE id = '13182', User:5
[2023-11-21 13:15:55] Action: UPDATE qtybank SET brand='7',qty='3', seller = '62',anbarenter='1',invoice='1',invoice_date='1402/08/16',pos1='B',pos2='14',des='',deliverer='17',invoice_number='2726',stock_id='1' WHERE id = '14322', User:5
[2023-11-22 14:45:03] Action: UPDATE qtybank SET brand='5',qty='1', seller = '161',anbarenter='1',invoice='0',invoice_date='1402/07/18',pos1='J',pos2='1',des='',deliverer='17',invoice_number='',stock_id='1' WHERE id = '13160', User:5
[2023-11-22 14:45:13] Action: UPDATE qtybank SET brand='5',qty='1', seller = '161',anbarenter='1',invoice='0',invoice_date='1402/07/18',pos1='L',pos2='3',des='',deliverer='17',invoice_number='',stock_id='1' WHERE id = '13158', User:5
[2023-11-22 14:45:25] Action: UPDATE qtybank SET brand='5',qty='2', seller = '161',anbarenter='1',invoice='0',invoice_date='1402/07/18',pos1='C',pos2='8',des='',deliverer='17',invoice_number='',stock_id='1' WHERE id = '13128', User:5
[2023-11-22 14:45:33] Action: UPDATE qtybank SET brand='5',qty='7', seller = '161',anbarenter='1',invoice='0',invoice_date='1402/07/18',pos1='N',pos2='3',des='',deliverer='17',invoice_number='',stock_id='1' WHERE id = '13117', User:5
[2023-11-22 14:45:43] Action: UPDATE qtybank SET brand='5',qty='10', seller = '161',anbarenter='1',invoice='0',invoice_date='1402/07/18',pos1='سبد',pos2='A1',des='',deliverer='17',invoice_number='',stock_id='1' WHERE id = '13098', User:5
[2023-11-22 14:45:51] Action: UPDATE qtybank SET brand='5',qty='5', seller = '161',anbarenter='1',invoice='0',invoice_date='1402/07/18',pos1='پشت بام',pos2='',des='',deliverer='9',invoice_number='',stock_id='1' WHERE id = '13084', User:5
[2023-11-22 14:45:59] Action: UPDATE qtybank SET brand='5',qty='1', seller = '161',anbarenter='1',invoice='0',invoice_date='1402/07/18',pos1='زیرزمین',pos2='3',des='',deliverer='9',invoice_number='',stock_id='1' WHERE id = '13068', User:5
[2023-12-05 08:48:31] Action: UPDATE qtybank SET brand='5',qty='12', seller = '159',anbarenter='1',invoice='1',invoice_date='1402/09/05',pos1='G',pos2='12',des='انتقال به انبار جدید',deliverer='10',invoice_number='4924',stock_id='1' WHERE id = '15339', User:5
[2024-01-06 11:33:12] Action: UPDATE qtybank SET brand='5',qty='1', seller = '17',anbarenter='1',invoice='1',invoice_date='1402/10/07',pos1='33',pos2='33',des='',deliverer='17',invoice_number='402100715',stock_id='9' WHERE id = '16766', User:5
[2024-01-24 08:59:43] Action: UPDATE qtybank SET brand='5',qty='20', seller = '15',anbarenter='0',invoice='0',invoice_date='1401/06/16',pos1='کشو',pos2='B2',des='انتقال به انبار جدید',deliverer='',invoice_number='1',stock_id='6' WHERE id = '17886', User:5
[2024-01-24 09:18:26] Action: UPDATE qtybank SET brand='5',qty='20', seller = '15',anbarenter='0',invoice='0',invoice_date='1401/06/16',pos1='کشو',pos2='B2',des='انتقال به انبار جدید',deliverer='',invoice_number='1',stock_id='6' WHERE id = '17886', User:5
[2024-01-24 09:25:01] Action: UPDATE qtybank SET brand='5',qty='10', seller = '159',anbarenter='1',invoice='1',invoice_date='1402/08/17',pos1='',pos2='کارتن',des='',deliverer='1',invoice_number='4754',stock_id='9' WHERE id = '17843', User:5
